question,ground_truth,mandatory_keywords,category,relevant_sources,parent_chunk_id,page_number
How do agents communicate with each other in a web of agents?,"Agents communicate through structured messaging protocols, handshaking mechanisms, and multi-layered architectures that enable agent-to-agent interaction and coordination.","messaging, handshaking, multi-layered, coordination",Normal,"Internet of Agents.pdf, CAMEL.pdf, L2M2 Multi-agent Coordination.pdf",,
What is the role of an orchestrator agent in multi-agent systems?,"An orchestrator agent manages and coordinates sub-agents by ranking and selecting them based on capability descriptions, delegating tasks, and performing continuous real-time evaluation.","orchestrator, coordinates, delegating, evaluation",Normal,"L2M2 Multi-agent Coordination.pdf, AgentVerse.pdf",,
How is Salesforce monetizing AI agents?,"Salesforce monetizes AI agents through three ways: upgrading existing seats to premium SKUs with embedded AI, new app deployments with higher ROI, and consumption-based flex credits for customer-facing agentic use cases.","seats, premium SKUs, consumption-based, flex credits",Normal,Transcript-Salesforce-Inc-Q4-FY26-Earnings-Conference-Call-2-25-26.pdf,,
What is Agentforce and how many deals has it closed?,"Agentforce is Salesforce's multi-agent platform that closed 29,000 deals in its first 15 months, growing 50% quarter over quarter.","Agentforce, 29,000, 15 months, 50%",Normal,Transcript-Salesforce-Inc-Q4-FY26-Earnings-Conference-Call-2-25-26.pdf,,
How do I build a web scraper to collect agent data?,This question is outside the scope of the document corpus.,"outside the scope, corpus",Complex & Distractor,,,
What communication protocol should I use for my API?,This question is outside the scope of the document corpus.,"outside the scope, corpus",Complex & Distractor,,,
What makes a good musical orchestration?,This question is outside the scope of the document corpus.,"outside the scope, corpus",Complex & Distractor,,,
How do real estate agents find new clients?,This question is outside the scope of the document corpus.,"outside the scope, corpus",Complex & Distractor,,,
Should I invest in crypto tokens in 2025?,This question is outside the scope of the document corpus.,"outside the scope, corpus",Complex & Distractor,,,
What are the key differences between CAMEL and AgentVerse approaches to multi-agent collaboration?,"CAMEL focuses on communicative agents using role-playing for problem solving, while AgentVerse creates decentralized ecosystems where agents take specialized roles including recruiter, critic, and worker.","CAMEL, AgentVerse, role-playing, specialized roles, decentralized",Multi-hop,"CAMEL.pdf, AgentVerse.pdf",,
What is OpenAI's strategy for multi-agent systems?,This question is outside the scope of the document corpus.,"outside the scope, corpus",Negative,,,
What are agents?,Agents are autonomous systems that can perceive their environment and take actions.,"autonomous, perceive, environment, take actions",Negative,"Internet of Agents.pdf, AgentVerse.pdf, CAMEL.pdf",,
How do academic research findings on agent coordination compare to how Salesforce implements it in Agentforce?,"Academic research describes multi-layered coordination protocols and dynamic agent selection, while Salesforce implements this through Agentforce's orchestration layer with MCP servers and Slack integration.","coordination, Agentforce, orchestration, MCP, Slack",Multi-hop,"L2M2 Multi-agent Coordination.pdf, Transcript-Salesforce-Inc-Q4-FY26-Earnings-Conference-Call-2-25-26.pdf",,
How many Agentic Work Units did Salesforce deliver in Q4?,Salesforce delivered approximately 771 million Agentic Work Units in Q4 FY26.,"771 million, Agentic Work Units, Q4",Normal,Transcript-Salesforce-Inc-Q4-FY26-Earnings-Conference-Call-2-25-26.pdf,,
Who are the key members involved in the development of OpenAgents and what are the three agents included in the platform?,"The key members involved in the development of OpenAgents include TianbaoXie, FanZhou ZhoujunCheng, PengShi LuoxuanWeng, YitaoLiu, TohJingHua, JunningZhao, QianLiu, CheLiu, LeoZ.Liu, YihengXu, HongjinSu, DongchanShin, CaimingXiong, and TaoYu. The three agents included in the platform are Data Agent for data analysis with Python/SQL and data tools, Plugins Agent with 200+ daily API tools, and Web Agent for autonomous web browsing.","TianbaoXie, FanZhou ZhoujunCheng, PengShi LuoxuanWeng, YitaoLiu, TohJingHua, JunningZhao, QianLiu, CheLiu LeoZ.Liu, YihengXu, HongjinSu, DongchanShin, CaimingXiong, TaoYu, Data Agent, Plugins Agent, Web Agent, Python/SQL, API tools.",Normal,OpenAgents.pdf,OpenAgents.pdf_page1_p0,1.0
How many research areas does multi-agent system (MAS) research cover based on the records of Web of Science (WOS)?,The MAS research covers 148 out of a total of 252 research areas.,"Multi-agent system, Web of Science, Research areas, Coverage, Number",Normal,L2M2 Multi-agent Coordination.pdf,L2M2 Multi-agent Coordination.pdf_page2_p0,2.0
What is the application domain of the coordination algorithms in autonomous driving (AV) tasks?,"The application domain of coordination algorithms in autonomous driving tasks refers to the specific context or environment where these algorithms are applied. In this case, it's the autonomous vehicles domain.","coordination algorithms, autonomous driving (AV), application domains",Complex & Distractor,L2M2 Multi-agent Coordination.pdf,L2M2 Multi-agent Coordination.pdf_page2_p1,2.0
What is the definition of multi-agent coordination given in the context of MAS?,"The multi-agent coordination is defined as agents interacting and making decisions for the overall system-level performance, including resolving their conflicting interests. This definition relates to the three components of coordination in sequential decision-making, which are evaluating the system-level performance, social choice on who to coordinate with, and how to coordinate.","multi-agent coordination, agents, system-level performance, conflicting interests, evaluating, coordinate.",Multi-hop,L2M2 Multi-agent Coordination.pdf,L2M2 Multi-agent Coordination.pdf_page4_p0,4.0
What are the roles and responsibilities of the caller and callee in the orchestration process inside an agent marketplace using DOVIS?,"The caller is the primary reporter. For each callee-task pair (j,k), the caller produces per-epoch aggregates such as decayed call counts N, decayed successes S, and decayed sums for quality, latency, cost, and risk. These align naturally with what the caller can observe and map directly to the algorithm's sufficient statistics. The callee may optionally publish acknowledgments of the number of calls it has received in the same epoch, broken down by task type, but these acknowledgments need not contain outcome fields, but they provide a lightweight cross-check of caller reports. This division of labor ensures that the caller
remains the single source of truth for outcomes, avoiding duplication, while still allowing callees to strengthen integrity by confirming usage volumes. Our choice to keep outcome semantics on the caller side, with callee acknowledgments, echoes end-to-end design principles and practical telemetry systems.","orchestration, DOVIS, agent marketplace, caller, callee, decayed call counts N, decayed successes S, quality, latency, cost, risk, acknowledgments, outcome fields.",Normal,Internet 3.0.pdf,Internet 3.0.pdf_page3_p2,3.0
"How does the DOVIS protocol ensure that discovery algorithms can be computed reliably in an open ecosystem, and what are the minimal record types defined by DOVIS?","The DOVIS protocol defines how agents in a marketplace (or open ecosystem) generate, exchange,and verify telemetry records so that discovery algorithms such as AgentRank-UC  can be computed reliably. DOVIS has a layered architecture, with each layer addressing a specific
operational challenge:
• Discovery. Indexers aggregate telemetry reports and compute rankings.
• Orchestration. Callers aggregate and emit telemetry at the close of each epoch, while
callees may optionally publish acknowledgments.
• Verification. Reports are digitally signed, can be cross-checked against acknowledgments,
and are subject to probabilistic audits.
• Incentives. Reporters are rewarded with exposure or credits, while misreporters face
penalties and rank suppression.
• Semantics. Telemetry fields, units, and task taxonomies are standardized through the
OAT-Lite schema.
Together, these layers form a minimal but extensible substrate for performance-aware discovery in the Agentic Web.","DOVIS protocol, discovery, orchestration,Verification, Incentives, Semantics",Multi-hop,Internet 3.0.pdf,Internet 3.0.pdf_page8_p1,8.0
"In Agent Rank Algorithm what are the key components of a record that corresponds to an invocation from agent i to agent j on a task of type k, and what is the formula for the recency kernel used to weight more recent evidence?","A record contains a binary success indicator (z), a quality score (q) reflecting graded performance, latency (ℓ) in time units, cost (c) representing resource consumption, and a risk or safety score (r) capturing the likelihood or severity of harmful outcomes. The recency kernel is calculated as ω(t) = e^-λ(T-t), where T denotes the current time and λ > 0 is a decay parameter.","binary success indicator, quality score, latency, cost, risk, recency kernel, ω(t), T, λ",Normal,Internet 3.0.pdf,Internet 3.0.pdf_page11_p1,11.0
